ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12496,Married,Female,40000,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,42,0
24107,Married,Male,30000,3,Partial College,Clerical,1,1,0-1 Miles,Europe,43,0
14177,Married,Male,80000,5,Partial College,Professional,0,2,2-5 Miles,Europe,60,0
24381,Single,Male,70000,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,41,1
25597,Single,Male,30000,0,Bachelors,Clerical,0,0,0-1 Miles,Europe,36,1
13507,Married,Female,10000,2,Partial College,Manual,1,0,1-2 Miles,Europe,50,0
27974,Single,Male,160000,2,High School,Management,1,4,0-1 Miles,Pacific,33,1
19364,Married,Male,40000,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,43,1
22155,Married,Male,20000,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,58,0
19280,Married,Male,20000,2,Partial College,Manual,1,1,0-1 Miles,Europe,48,1
22173,Married,Female,30000,3,High School,Skilled Manual,0,2,1-2 Miles,Pacific,54,1
12697,Single,Female,90000,0,Bachelors,Professional,0,4,10+ Miles,Pacific,36,0
11434,Married,Male,170000,5,Partial College,Professional,1,4,0-1 Miles,Europe,55,0
25323,Married,Male,40000,2,Partial College,Clerical,1,1,1-2 Miles,Europe,35,1
23542,Single,Male,60000,1,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,45,1
20870,Single,Female,10000,2,High School,Manual,1,1,0-1 Miles,Europe,38,1
23316,Single,Male,30000,3,Partial College,Clerical,0,2,1-2 Miles,Pacific,59,1
12610,Married,Female,30000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,47,0
27183,Single,Male,40000,2,Partial College,Clerical,1,1,1-2 Miles,Europe,35,1
25940,Single,Male,20000,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,55,1
25598,Married,Female,40000,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,36,1
21564,Single,Female,80000,0,Bachelors,Professional,1,4,10+ Miles,Pacific,35,0
19193,Single,Male,40000,2,Partial College,Clerical,1,0,1-2 Miles,Europe,35,1
26412,Married,Female,80000,5,High School,Management,0,3,5-10 Miles,Europe,56,0
27184,Single,Male,40000,2,Partial College,Clerical,0,1,0-1 Miles,Europe,34,0
12590,Single,Male,30000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,63,0
17841,Single,Male,30000,0,Partial College,Clerical,0,1,0-1 Miles,Europe,29,1
18283,Single,Female,100000,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,40,0
18299,Married,Male,70000,5,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,44,0
16466,Single,Female,20000,0,Partial High School,Manual,0,2,0-1 Miles,Europe,32,1
19273,Married,Female,20000,2,Partial College,Manual,1,0,0-1 Miles,Europe,63,0
22400,Married,Male,10000,0,Partial College,Manual,0,1,0-1 Miles,Pacific,26,1
20942,Single,Female,20000,0,High School,Manual,0,1,5-10 Miles,Europe,31,0
18484,Single,Male,80000,2,High School,Skilled Manual,0,2,1-2 Miles,Pacific,50,1
12291,Single,Male,90000,5,Partial College,Professional,0,2,2-5 Miles,Europe,62,1
28380,Single,Female,10000,5,Partial High School,Manual,0,2,0-1 Miles,Europe,41,0
17891,Married,Female,10000,2,Partial College,Manual,1,1,0-1 Miles,Europe,50,1
27832,Single,Female,30000,0,Partial College,Clerical,0,1,2-5 Miles,Europe,30,0
26863,Single,Male,20000,0,High School,Manual,0,1,2-5 Miles,Europe,28,0
16259,Single,Female,10000,4,Partial High School,Manual,1,2,0-1 Miles,Europe,40,1
27803,Single,Female,30000,2,Partial College,Clerical,0,0,0-1 Miles,Europe,43,0
14347,Single,Female,40000,2,Bachelors,Management,1,2,5-10 Miles,Pacific,65,1
17703,Married,Female,10000,1,Graduate Degree,Manual,1,0,0-1 Miles,Europe,40,0
17185,Married,Female,170000,4,Partial College,Professional,0,3,5-10 Miles,Europe,48,1
29380,Married,Female,20000,3,High School,Manual,1,0,0-1 Miles,Europe,41,1
23986,Married,Female,20000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,66,1
24466,Married,Female,60000,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,46,1
29097,Single,Female,40000,2,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,52,1
19487,Married,Male,30000,2,Partial College,Clerical,0,2,0-1 Miles,Europe,42,0
14939,Married,Male,40000,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,39,1
13826,Single,Female,30000,0,Partial College,Clerical,0,1,0-1 Miles,Europe,28,0
20619,Single,Male,80000,0,Bachelors,Professional,0,4,10+ Miles,Pacific,35,0
12558,Married,Female,20000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,65,0
24871,Single,Female,90000,4,High School,Management,0,3,5-10 Miles,Europe,56,0
17319,Single,Female,70000,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,42,0
28906,Married,Male,80000,4,High School,Professional,1,2,10+ Miles,Europe,54,0
12808,Married,Male,40000,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,38,1
20567,Married,Male,130000,4,Partial College,Professional,0,4,5-10 Miles,Europe,61,1
25502,Married,Female,40000,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,43,1
15580,Married,Male,60000,2,Bachelors,Professional,1,1,2-5 Miles,Pacific,38,1
24185,Single,Female,10000,1,High School,Manual,0,1,1-2 Miles,Europe,45,0
19291,Single,Female,10000,2,High School,Manual,1,0,0-1 Miles,Europe,35,0
16713,Married,Male,40000,2,Bachelors,Management,1,1,0-1 Miles,Pacific,52,1
16185,Single,Male,60000,4,Bachelors,Professional,1,3,10+ Miles,Pacific,41,0
14927,Married,Female,30000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,37,1
29337,Single,Male,30000,2,Partial College,Clerical,1,2,5-10 Miles,Pacific,68,0
29355,Married,Female,40000,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,37,1
25303,Single,Male,30000,0,High School,Manual,1,1,2-5 Miles,Europe,33,1
14813,Single,Female,20000,4,High School,Manual,1,1,0-1 Miles,Europe,43,1
16438,Married,Female,10000,0,Partial High School,Manual,0,2,0-1 Miles,Europe,30,0
14238,Married,Male,120000,0,Partial High School,Professional,1,4,10+ Miles,Pacific,36,1
16200,Single,Female,10000,0,Partial High School,Manual,0,2,0-1 Miles,Europe,35,0
24857,Married,Female,130000,3,High School,Professional,1,4,0-1 Miles,Europe,52,0
26956,Single,Female,20000,0,Partial College,Manual,0,1,2-5 Miles,Europe,36,1
14517,Married,Female,20000,3,High School,Skilled Manual,0,2,1-2 Miles,Pacific,62,0
12678,Single,Female,130000,4,High School,Management,1,4,0-1 Miles,Pacific,31,0
16188,Single,Female,20000,0,Partial High School,Manual,0,2,1-2 Miles,Europe,26,0
27969,Married,Male,80000,0,Bachelors,Professional,1,2,10+ Miles,Pacific,29,1
15752,Married,Male,80000,2,High School,Skilled Manual,0,2,1-2 Miles,Pacific,50,1
27745,Single,Male,40000,2,Bachelors,Management,1,2,5-10 Miles,Pacific,63,1
20828,Married,Female,30000,4,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,45,1
19461,Single,Female,10000,4,Partial High School,Manual,1,2,0-1 Miles,Europe,40,0
26941,Married,Male,30000,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,47,1
28412,Single,Male,20000,0,High School,Manual,0,1,2-5 Miles,Europe,29,0
24485,Single,Male,40000,2,Bachelors,Management,0,1,5-10 Miles,Pacific,52,1
16514,Single,Male,10000,0,Partial College,Manual,1,1,1-2 Miles,Pacific,26,1
17191,Single,Male,130000,3,Partial College,Professional,0,3,0-1 Miles,Europe,51,1
19608,Married,Male,80000,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,40,0
24119,Single,Male,30000,0,Partial College,Clerical,0,1,2-5 Miles,Europe,29,0
25458,Married,Male,20000,1,High School,Manual,0,1,1-2 Miles,Europe,40,1
26886,Single,Female,30000,0,Partial College,Clerical,0,1,0-1 Miles,Europe,29,1
28436,Single,Male,30000,0,Partial College,Clerical,0,1,0-1 Miles,Europe,30,1
19562,Single,Female,60000,2,Bachelors,Professional,1,1,2-5 Miles,Pacific,37,1
15608,Single,Female,30000,0,Partial College,Clerical,0,1,2-5 Miles,Europe,33,0
16487,Single,Female,30000,3,High School,Skilled Manual,1,2,5-10 Miles,Pacific,55,0
17197,Single,Female,90000,5,Partial College,Professional,1,2,10+ Miles,Europe,62,0
12507,Married,Male,30000,1,Partial College,Clerical,1,1,0-1 Miles,Europe,43,0
23940,Married,Male,40000,1,Bachelors,Skilled Manual,1,1,0-1 Miles,Europe,44,1
19441,Single,Male,40000,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,37,1
26852,Married,Female,20000,3,High School,Manual,1,2,0-1 Miles,Europe,43,0
12274,Single,Male,10000,2,High School,Manual,1,0,0-1 Miles,Europe,35,0
20236,Single,Male,60000,3,Bachelors,Professional,0,2,0-1 Miles,Pacific,43,1
24149,Married,Male,10000,2,Partial College,Manual,1,0,1-2 Miles,Europe,49,0
26139,Single,Male,60000,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,45,0
18491,Single,Female,70000,2,High School,Professional,1,2,5-10 Miles,Pacific,49,1
22707,Single,Female,30000,0,Partial College,Clerical,0,1,2-5 Miles,Europe,30,0
20430,Married,Male,70000,2,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,52,1
27494,Single,Female,40000,2,Partial College,Skilled Manual,0,2,1-2 Miles,Pacific,53,1
26829,Married,Female,40000,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,38,1
28395,Single,Male,40000,0,Bachelors,Professional,0,0,0-1 Miles,Europe,39,1
21006,Single,Female,20000,1,Partial College,Manual,0,0,0-1 Miles,Europe,46,1
14682,Single,Female,70000,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,38,0
17650,Single,Female,40000,2,Partial College,Clerical,1,2,1-2 Miles,Europe,35,0
29191,Single,Female,130000,1,Graduate Degree,Management,0,1,0-1 Miles,Pacific,36,1
15030,Married,Male,20000,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,26,1
24140,Single,Male,10000,0,Graduate Degree,Manual,0,0,0-1 Miles,Europe,30,1
22496,Married,Female,30000,1,Bachelors,Skilled Manual,1,2,0-1 Miles,Europe,42,0
24065,Single,Female,20000,2,High School,Manual,1,0,0-1 Miles,Europe,40,1
19914,Married,Male,80000,5,Bachelors,Management,1,2,2-5 Miles,Europe,62,0
12871,Single,Female,30000,0,Partial College,Clerical,0,1,2-5 Miles,Europe,29,0
22988,Married,Female,40000,2,Bachelors,Management,1,2,5-10 Miles,Pacific,66,1
15922,Married,Male,150000,2,High School,Professional,1,4,0-1 Miles,Europe,48,0
12344,Single,Female,80000,0,Bachelors,Professional,0,3,10+ Miles,Pacific,31,0
23627,Single,Female,100000,3,Partial College,Management,0,4,5-10 Miles,Europe,56,0
27775,Single,Female,40000,0,Bachelors,Clerical,0,0,0-1 Miles,Europe,38,1
29301,Married,Male,80000,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,40,0
12716,Single,Male,30000,0,Partial College,Clerical,1,1,2-5 Miles,Europe,32,0
12472,Married,Male,30000,1,Bachelors,Clerical,1,1,2-5 Miles,Europe,39,0
20970,Single,Male,10000,2,Partial College,Manual,1,1,0-1 Miles,Europe,52,1
26818,Single,Male,10000,3,High School,Manual,1,1,0-1 Miles,Europe,39,1
12993,Married,Male,60000,2,Bachelors,Professional,1,1,2-5 Miles,Pacific,37,0
14192,Married,Male,90000,4,High School,Management,1,3,5-10 Miles,Europe,56,1
19477,Married,Male,40000,0,Bachelors,Professional,1,0,0-1 Miles,Europe,40,1
26796,Single,Male,40000,2,Bachelors,Management,1,2,5-10 Miles,Pacific,65,1
21094,Single,Female,30000,2,Partial College,Clerical,1,2,0-1 Miles,Europe,42,0
12234,Married,Male,10000,2,Partial College,Manual,1,1,2-5 Miles,Europe,52,0
28683,Single,Female,10000,1,High School,Manual,0,1,5-10 Miles,Europe,35,1
17994,Single,Male,20000,2,High School,Manual,1,2,0-1 Miles,Europe,42,0
24273,Married,Female,20000,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,55,1
26547,Single,Female,30000,2,Partial College,Clerical,0,2,5-10 Miles,Pacific,60,1
22500,Single,Male,40000,0,Bachelors,Professional,0,0,0-1 Miles,Europe,40,1
23993,Single,Female,10000,0,Partial College,Manual,0,1,0-1 Miles,Pacific,26,1
14832,Married,Male,40000,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,42,1
16614,Married,Female,80000,0,Bachelors,Professional,1,3,10+ Miles,Pacific,32,0
20877,Single,Male,30000,1,Bachelors,Clerical,1,0,1-2 Miles,Europe,37,1
20729,Married,Female,40000,2,Partial College,Clerical,0,1,0-1 Miles,Europe,34,0
22464,Married,Male,40000,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,37,1
19475,Married,Female,40000,0,Bachelors,Professional,0,0,0-1 Miles,Europe,40,1
19675,Married,Male,20000,4,High School,Skilled Manual,1,2,5-10 Miles,Pacific,60,0
12728,Single,Male,30000,0,Partial College,Clerical,0,1,1-2 Miles,Europe,27,0
26154,Married,Male,60000,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,43,1
29117,Single,Male,100000,1,Bachelors,Management,0,3,0-1 Miles,Pacific,48,0
17845,Single,Female,20000,0,Partial High School,Manual,0,2,1-2 Miles,Europe,32,0
25058,Married,Male,100000,1,Bachelors,Management,1,3,2-5 Miles,Pacific,47,0
23426,Single,Male,80000,5,Graduate Degree,Management,1,3,0-1 Miles,Pacific,40,0
14798,Single,Female,10000,4,Partial High School,Manual,1,2,0-1 Miles,Europe,41,1
12664,Married,Female,130000,5,Partial College,Professional,1,4,0-1 Miles,Europe,59,0
23979,Single,Male,10000,2,Partial College,Manual,0,0,0-1 Miles,Europe,50,0
25605,Single,Female,20000,2,Partial College,Manual,0,1,0-1 Miles,Europe,54,1
20797,Married,Female,10000,1,Bachelors,Manual,1,0,0-1 Miles,Europe,48,0
21980,Single,Female,60000,1,Bachelors,Professional,1,1,5-10 Miles,Pacific,44,1
25460,Married,Female,20000,2,High School,Manual,1,0,0-1 Miles,Europe,40,1
29181,Single,Female,60000,2,Bachelors,Professional,0,1,0-1 Miles,Pacific,38,1
24279,Single,Male,40000,2,Partial College,Skilled Manual,0,2,1-2 Miles,Pacific,52,0
22402,Married,Male,10000,0,Partial College,Manual,1,1,2-5 Miles,Pacific,25,1
15465,Married,Female,10000,0,Partial College,Manual,0,1,0-1 Miles,Pacific,25,0
26757,Single,Male,90000,1,Bachelors,Professional,1,1,2-5 Miles,Pacific,47,1
14233,Single,Male,100000,0,High School,Management,1,3,10+ Miles,Pacific,35,0
14058,Single,Male,70000,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,41,1
12273,Married,Male,30000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,47,0
17203,Married,Female,130000,4,Partial College,Professional,1,4,5-10 Miles,Europe,61,1
18144,Married,Female,80000,5,Bachelors,Management,1,2,2-5 Miles,Europe,61,0
23963,Married,Male,10000,0,Partial High School,Manual,0,2,0-1 Miles,Europe,33,0
17907,Married,Female,10000,0,Partial College,Manual,1,1,2-5 Miles,Pacific,27,0
19442,Single,Male,50000,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,37,1
17504,Single,Female,80000,2,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,52,1
12253,Single,Female,20000,0,Partial College,Manual,1,0,0-1 Miles,Pacific,29,1
27304,Single,Female,110000,2,Partial College,Professional,0,3,5-10 Miles,Europe,48,0
14191,Married,Male,160000,4,Partial College,Professional,0,2,10+ Miles,Europe,55,1
12212,Married,Female,10000,0,Graduate Degree,Manual,1,0,0-1 Miles,Europe,37,1
25529,Single,Male,10000,1,Graduate Degree,Manual,1,0,0-1 Miles,Europe,44,0
22170,Married,Female,30000,3,Partial College,Clerical,0,2,1-2 Miles,Pacific,55,1
19445,Married,Female,10000,2,High School,Manual,0,1,0-1 Miles,Europe,38,0
15265,Single,Male,40000,2,Bachelors,Management,1,2,5-10 Miles,Pacific,66,1
28918,Married,Female,130000,4,High School,Management,0,4,10+ Miles,Europe,58,0
15799,Married,Female,90000,1,Bachelors,Professional,1,1,2-5 Miles,Pacific,47,1
11047,Married,Female,30000,3,High School,Skilled Manual,0,2,1-2 Miles,Pacific,56,1
18151,Single,Male,80000,5,Partial College,Professional,0,2,10+ Miles,Europe,59,0
20606,Married,Female,70000,0,Bachelors,Professional,1,4,10+ Miles,Pacific,32,1
19482,Married,Male,30000,1,Partial College,Clerical,1,1,0-1 Miles,Europe,44,1
16489,Married,Male,30000,3,High School,Skilled Manual,1,2,5-10 Miles,Pacific,55,0
26944,Single,Male,10000,2,High School,Manual,1,0,0-1 Miles,Europe,36,1
15682,Single,Female,80000,5,Bachelors,Management,1,2,10+ Miles,Europe,62,0
26032,Married,Female,70000,5,Bachelors,Professional,1,4,10+ Miles,Pacific,41,0
17843,Single,Female,10000,0,Partial High School,Manual,0,2,0-1 Miles,Europe,32,0
25559,Single,Male,20000,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,25,1
16209,Single,Female,50000,0,Graduate Degree,Skilled Manual,1,0,1-2 Miles,Europe,36,0
11147,Married,Male,60000,2,Graduate Degree,Management,1,1,0-1 Miles,Pacific,67,1
15214,Single,Female,100000,0,Graduate Degree,Management,0,1,1-2 Miles,Pacific,39,1
11453,Single,Male,80000,0,Bachelors,Professional,0,3,10+ Miles,Pacific,33,1
24584,Single,Male,60000,0,Bachelors,Professional,0,3,2-5 Miles,Pacific,31,0
12585,Married,Male,10000,1,High School,Manual,1,0,2-5 Miles,Pacific,27,1
18626,Single,Male,40000,2,Partial College,Clerical,1,0,1-2 Miles,Europe,33,1
29298,Single,Female,60000,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,46,1
24842,Single,Female,90000,3,High School,Professional,0,1,2-5 Miles,Europe,51,0
15657,Married,Male,30000,3,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,46,1
11415,Single,Male,90000,5,Partial College,Professional,0,2,10+ Miles,Europe,62,0
28729,Single,Female,20000,0,Partial High School,Manual,1,2,1-2 Miles,Europe,26,1
22633,Single,Female,40000,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,37,1
25649,Single,Female,30000,3,Partial College,Clerical,1,0,0-1 Miles,Europe,42,1
14669,Married,Female,80000,4,Graduate Degree,Management,1,1,0-1 Miles,Pacific,36,0
19299,Married,Female,50000,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,36,1
20946,Single,Female,30000,0,Partial College,Clerical,0,1,2-5 Miles,Europe,30,0
11451,Single,Male,70000,0,Bachelors,Professional,0,4,10+ Miles,Pacific,31,1
25553,Married,Male,30000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,65,1
27951,Single,Male,80000,4,Partial College,Professional,0,2,2-5 Miles,Europe,54,1
25026,Married,Male,20000,2,Partial High School,Clerical,1,3,5-10 Miles,Pacific,54,0
13673,Single,Female,20000,0,Partial High School,Manual,0,2,0-1 Miles,Europe,25,0
16043,Single,Male,10000,1,Bachelors,Manual,1,0,0-1 Miles,Europe,48,0
22399,Single,Male,10000,0,Partial College,Manual,1,1,1-2 Miles,Pacific,26,1
27696,Married,Male,60000,1,Bachelors,Professional,1,1,5-10 Miles,Pacific,43,1
25313,Single,Male,10000,0,Partial High School,Manual,0,2,1-2 Miles,Europe,35,0
13813,Married,Female,30000,3,Partial College,Clerical,0,0,0-1 Miles,Europe,42,0
18711,Single,Female,70000,5,Bachelors,Professional,1,4,10+ Miles,Pacific,39,0
19650,Married,Female,30000,2,Partial College,Clerical,0,2,0-1 Miles,Pacific,67,0
14135,Married,Male,20000,1,Partial College,Manual,1,0,1-2 Miles,Europe,63,0
12833,Single,Female,20000,3,High School,Manual,1,1,0-1 Miles,Europe,42,1
26849,Married,Male,10000,3,Partial High School,Manual,1,2,0-1 Miles,Europe,43,0
20962,Married,Female,20000,1,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,45,0
28915,Single,Male,80000,5,High School,Management,1,3,10+ Miles,Europe,57,0
22830,Married,Male,120000,4,Partial College,Management,1,3,10+ Miles,Europe,56,0
14777,Married,Female,40000,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,38,1
12591,Married,Female,30000,4,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,45,0
24174,Married,Male,20000,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,27,1
24611,Single,Male,90000,0,Bachelors,Professional,0,4,10+ Miles,Pacific,35,1
11340,Married,Female,10000,1,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,70,1
25693,Single,Female,30000,5,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,44,1
25555,Married,Female,10000,0,Partial College,Manual,0,1,0-1 Miles,Pacific,26,1
22006,Married,Male,70000,5,Partial College,Skilled Manual,1,3,5-10 Miles,Pacific,46,0
20060,Single,Female,30000,0,High School,Manual,0,1,2-5 Miles,Europe,34,1
17702,Married,Male,10000,1,Graduate Degree,Manual,1,0,0-1 Miles,Europe,37,0
12503,Single,Female,30000,3,Partial College,Clerical,1,2,0-1 Miles,Europe,27,0
23908,Single,Male,30000,1,Bachelors,Clerical,0,1,0-1 Miles,Europe,39,1
22527,Single,Female,20000,0,High School,Manual,0,1,2-5 Miles,Europe,29,0
19057,Married,Female,120000,3,Bachelors,Management,0,2,10+ Miles,Europe,52,1
18494,Married,Male,110000,5,Bachelors,Management,1,4,2-5 Miles,Pacific,48,1
11249,Married,Female,130000,3,Partial College,Professional,1,3,0-1 Miles,Europe,51,1
21568,Married,Female,100000,0,High School,Management,1,4,10+ Miles,Pacific,34,1
13981,Married,Female,10000,5,High School,Skilled Manual,0,3,1-2 Miles,Pacific,62,0
23432,Single,Male,70000,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,37,1
22931,Married,Male,100000,5,Graduate Degree,Management,0,1,1-2 Miles,Pacific,78,1
18172,Married,Male,130000,4,High School,Professional,1,3,0-1 Miles,Europe,55,0
12666,Single,Male,60000,0,Bachelors,Professional,0,4,2-5 Miles,Pacific,31,0
20598,Married,Male,100000,3,Partial High School,Professional,1,0,10+ Miles,Europe,59,1
21375,Single,Male,20000,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,57,0
20839,Single,Female,30000,3,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,47,1
21738,Married,Male,20000,1,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,43,0
14164,Single,Female,50000,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,36,1
14193,Single,Female,100000,3,Partial College,Management,1,4,10+ Miles,Europe,56,0
12705,Married,Male,150000,0,Bachelors,Management,1,4,0-1 Miles,Pacific,37,1
22672,Single,Female,30000,2,Partial College,Clerical,1,0,0-1 Miles,Europe,43,0
26219,Married,Female,40000,1,Bachelors,Skilled Manual,1,1,1-2 Miles,Europe,33,1
